sig,SBS5,SBS6,SBS40,SBS1,SBS2,SBS3,SBS4,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90
Sig1,0.844,0.667,0.577,0.617,0.195,0.565,0.181,0.283,0.375,0.179,0.291,0.236,0.44,0.051,0.293,0.381,0.576,0.106,0.147,0.469,0.458,0.218,0.065,0.212,0.396,0.263,0.335,0.101,0.393,0.242,0.554,0.615,0.113,0.091,0.207,0.461,0.408,0.505,0.349,0.089,0.223,0.119,0.539,0.052,0.437,0.382,0.375,0.114,0.536,0.042,0.559,0.183,0.012,0.024,0.254,0.254,0.044,0.135,0.547,0.109,0.069,0.402,0.453,0.057,0.025,0.372,0.329,0.281,0.632,0.374,0.47,0.066
Sig2,0.65,0.706,0.455,0.575,0.129,0.502,0.213,0.269,0.424,0.1,0.15,0.205,0.295,0.043,0.219,0.392,0.357,0.048,0.125,0.555,0.148,0.242,0.033,0.234,0.409,0.268,0.271,0.065,0.47,0.295,0.45,0.452,0.1,0.031,0.249,0.451,0.445,0.411,0.339,0.043,0.291,0.114,0.295,0.072,0.377,0.221,0.409,0.228,0.484,0.067,0.509,0.145,0.014,0.047,0.271,0.287,0.034,0.142,0.547,0.18,0.046,0.23,0.305,0.063,0.118,0.366,0.131,0.232,0.622,0.085,0.398,0.015
Sig3,0.706,0.635,0.607,0.599,0.081,0.652,0.548,0.217,0.341,0.146,0.173,0.453,0.396,0.109,0.191,0.308,0.394,0.098,0.341,0.495,0.247,0.214,0.052,0.438,0.341,0.469,0.267,0.146,0.379,0.497,0.575,0.454,0.123,0.077,0.502,0.392,0.454,0.411,0.31,0.064,0.479,0.323,0.365,0.322,0.475,0.287,0.456,0.133,0.539,0.392,0.508,0.145,0.083,0.226,0.281,0.25,0.182,0.314,0.499,0.095,0.174,0.304,0.261,0.155,0.025,0.339,0.183,0.299,0.657,0.186,0.539,0.045
Sig4,0.841,0.469,0.66,0.362,0.166,0.672,0.224,0.311,0.419,0.235,0.285,0.29,0.559,0.07,0.223,0.407,0.624,0.106,0.146,0.35,0.469,0.322,0.074,0.227,0.384,0.259,0.336,0.124,0.408,0.26,0.569,0.618,0.13,0.149,0.193,0.468,0.466,0.442,0.299,0.102,0.288,0.14,0.64,0.074,0.469,0.437,0.405,0.495,0.486,0.067,0.644,0.256,0.016,0.021,0.346,0.455,0.048,0.143,0.456,0.413,0.09,0.425,0.492,0.053,0.379,0.359,0.392,0.251,0.427,0.42,0.61,0.091
Sig5,0.817,0.373,0.872,0.26,0.407,0.819,0.632,0.415,0.429,0.229,0.252,0.613,0.446,0.171,0.29,0.438,0.416,0.371,0.3,0.338,0.434,0.162,0.066,0.534,0.425,0.39,0.219,0.239,0.374,0.508,0.68,0.38,0.201,0.086,0.529,0.505,0.496,0.532,0.196,0.138,0.528,0.416,0.463,0.339,0.617,0.437,0.479,0.239,0.468,0.393,0.465,0.406,0.078,0.214,0.549,0.479,0.237,0.331,0.221,0.228,0.237,0.455,0.663,0.147,0.136,0.373,0.4,0.426,0.356,0.34,0.777,0.152
