De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (19.50%) & Signature SBS5 (46.20%) & Signature SBS23 (13.82%) & Signature SBS54 (20.48%), 36.42,  35.35, 0.128, 0.94, 0.90
Signature 96-B, Signature SBS1 (11.90%) & Signature SBS5 (88.10%), 23.11,  21.23, 0.049, 0.98, 0.96
Signature 96-C, Signature SBS1 (8.06%) & Signature SBS3 (40.20%) & Signature SBS5 (42.42%) & Signature SBS43 (9.32%), 32.81,  34.54, 0.099, 0.94, 0.78
